City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,utrik,11.2278,169.8474,301.25,78,18,5.78,MH,1723090602
84,kapa'a,22.0752,-159.319,300.33,80,40,6.17,US,1723090603
85,thompson,55.7435,-97.8558,284.24,82,75,2.57,CA,1723090604
86,ploneour-lanvern,47.9,-4.2833,290.31,100,0,1.54,FR,1723090605
87,brookings,44.3114,-96.7984,291.51,94,100,4.63,US,1723090606
88,mitsamiouli,-11.3847,43.2844,297.6,70,28,3.02,KM,1723090607
89,kilindoni,-7.9139,39.6668,298.06,71,90,5.61,TZ,1723090415
90,port saint john's,-31.6229,29.5448,291.05,28,0,3.22,ZA,1723090610
91,borogontsy,62.6683,131.1683,295.49,40,10,0.98,RU,1723090611
92,ribeira brava,32.65,-17.0667,296.5,71,22,0.93,PT,1723090612
93,kingston,17.997,-76.7936,302.68,74,20,4.12,JM,1723090613
94,college,64.8569,-147.8028,296.33,62,75,2.57,US,1723090614
95,playa del ingles,27.7567,-15.5787,296.01,80,1,2.93,ES,1723090615
96,suva,-18.1416,178.4415,297.86,61,20,5.14,FJ,1723090616
97,sao jose da coroa grande,-8.8978,-35.1478,297.18,77,70,4.36,BR,1723090617
98,petropavlovsk-kamchatsky,53.0452,158.6483,299.48,41,75,7.0,RU,1723090618
99,wailua homesteads,22.0669,-159.378,299.59,82,40,6.17,US,1723090619
100,terrace,54.5163,-128.6035,299.1,44,20,2.57,CA,1723090620
101,merizo village,13.2658,144.6691,301.69,88,97,2.25,GU,1723090622
102,lisala,2.15,21.5167,294.94,93,86,0.92,CD,1723090623
103,stephenville,32.2207,-98.2023,302.22,50,0,2.57,US,1723090624
104,puerto natales,-51.7236,-72.4875,273.73,81,100,1.64,CL,1723090569
105,port mathurin,-19.6833,63.4167,295.47,75,16,5.77,MU,1723090626
106,ilulissat,69.2167,-51.1,278.16,93,100,1.54,GL,1723090627
107,bredasdorp,-34.5322,20.0403,281.25,95,0,2.46,ZA,1723090628
108,uruzgan,32.8333,66.0,303.61,12,0,0.49,AF,1723090629
109,lemvig,56.5486,8.3102,286.59,84,100,4.09,DK,1723090630
110,tura,25.5198,90.2201,301.75,77,61,3.04,IN,1723090631
111,flying fish cove,-10.4217,105.6791,299.97,83,100,7.72,CX,1723090516
112,hawaiian paradise park,19.5933,-154.9731,299.88,76,0,4.12,US,1723090634
113,luderitz,-26.6481,15.1594,283.02,82,0,2.84,NA,1723090635
114,tokar,18.4254,37.729,301.44,62,35,9.07,SD,1723090636
115,wisconsin rapids,44.3836,-89.8174,293.31,91,100,2.06,US,1723090503
116,kot sultan,30.7737,70.9313,310.44,43,0,4.79,PK,1723090638
117,leua,48.2156,18.6071,292.87,61,78,0.67,SK,1723090639
118,laguna,38.421,-121.4238,303.69,36,0,3.09,US,1723090418
119,santyoku,37.4406,129.1708,301.56,76,100,2.8,KR,1723090642
120,mando,10.7167,6.5667,295.0,98,100,2.58,NG,1723090643
121,labytnangi,66.6572,66.4183,286.15,60,11,0.34,RU,1723090644
122,vallenar,-28.5708,-70.7581,283.48,69,0,1.26,CL,1723090413
123,egilsstadir,65.2653,-14.3948,280.1,93,100,2.06,IS,1723090647
124,gjirokaster,40.0758,20.1389,296.25,49,0,1.95,AL,1723090648
125,west island,-12.1568,96.8225,301.14,69,15,5.14,CC,1723090649
126,port elizabeth,-33.918,25.5701,287.21,96,0,3.09,ZA,1723090650
127,ghormach,35.7306,63.7826,305.46,13,0,2.34,AF,1723090651
128,northam,51.0333,-4.2167,290.18,93,45,5.48,GB,1723090652
129,qaqortoq,60.7167,-46.0333,280.23,91,100,2.04,GL,1723090653
130,whangarei,-35.7317,174.3239,284.95,98,100,2.05,NZ,1723090654
131,nuuk,64.1835,-51.7216,277.49,100,100,2.57,GL,1723090655
132,puerto baquerizo moreno,-0.9,-89.6,292.92,78,88,5.96,EC,1723090631
133,flin flon,54.7682,-101.865,287.82,48,100,3.99,CA,1723090657
134,smidovich,48.6,133.8167,299.38,74,97,2.94,RU,1723090659
135,yakeshi,49.2833,120.7333,296.52,44,100,3.91,CN,1723090660
136,hobyo,5.3505,48.5268,297.66,81,80,8.76,SO,1723090661
137,nafada,11.0956,11.3327,296.28,89,100,2.36,NG,1723090662
138,selibaby,15.159,-12.1829,300.39,78,74,6.32,MR,1723090663
139,klyuchi,52.2667,79.1667,296.84,63,99,2.83,RU,1723090664
140,amungan,15.3652,119.9582,302.44,75,83,3.32,PH,1723090665
141,gamboma,-1.8764,15.8644,297.19,54,82,2.53,CG,1723090666
142,lompoc,34.6391,-120.4579,293.23,82,0,2.06,US,1723090667
143,hamilton,39.1834,-84.5333,296.4,84,0,3.6,US,1723090668
144,aasiaat,68.7098,-52.8699,276.55,95,99,3.29,GL,1723090672
145,cabedelo,-6.9811,-34.8339,294.52,73,82,5.05,BR,1723090519
146,saint-pol-de-leon,48.6833,-3.9833,289.7,82,100,1.79,FR,1723090674
147,sitka,57.0531,-135.33,290.09,77,20,1.54,US,1723090675
148,danilovka,50.3557,44.1168,295.46,54,71,1.87,RU,1723090676
149,arkhangel'sk,64.5401,40.5433,287.21,82,0,3.0,RU,1723090677
150,yesilyurt,38.2972,38.2497,294.12,42,0,0.54,TR,1723090678
151,mangaldai,26.4333,92.0333,302.63,78,93,0.76,IN,1723090679
152,troitsko-pechorsk,62.7084,56.1964,287.37,58,4,1.73,RU,1723090680
153,rongelap,11.1635,166.8941,301.58,75,97,3.78,MH,1723090681
154,darnah,32.767,22.6367,299.2,80,0,5.42,LY,1723090683
155,sola,-13.8833,167.55,298.21,73,81,11.11,VU,1723090684
156,akureyri,65.6835,-18.0878,281.11,93,100,1.54,IS,1723090685
157,talnakh,69.4865,88.3972,290.06,49,4,3.39,RU,1723090686
158,swakopmund,-22.6833,14.5333,284.81,88,4,2.42,NA,1723090687
159,maryborough,-25.5333,152.7,294.79,51,54,4.48,AU,1723090688
160,limon,10.0,-83.0333,298.18,89,100,4.18,CR,1723090689
161,rio grande,-32.035,-52.0986,285.9,91,71,3.4,BR,1723090690
162,illizi,26.4833,8.4667,301.04,19,7,2.09,DZ,1723090691
163,bezhetsk,57.7851,36.6965,286.97,94,26,3.09,RU,1723090692
164,yemva,62.59,50.8594,288.02,53,0,2.97,RU,1723090693
165,mahriz,31.5917,54.4318,304.43,9,3,0.8,IR,1723090695
166,longyearbyen,78.2186,15.6401,286.06,82,75,0.0,SJ,1723090696
167,saldanha,-33.0117,17.9442,285.18,87,100,5.63,ZA,1723090697
168,daru,-9.0763,143.2092,299.15,80,97,6.39,PG,1723090698
169,tanabe,33.7333,135.3667,305.71,55,20,4.63,JP,1723090699
170,ruhpolding,47.7667,12.65,290.63,92,62,2.31,DE,1723090700
171,karagay,58.2667,54.9368,287.92,81,91,4.02,RU,1723090701
172,keflavik,64.0049,-22.5624,280.39,100,0,1.03,IS,1723090702
173,guilford,36.0668,-79.7998,297.56,92,100,6.17,US,1723090703
174,alamos,27.0167,-108.9333,298.92,75,100,1.37,MX,1723090704
175,praia,14.9215,-23.5087,298.45,83,75,5.14,CV,1723090705
176,nakhon thai,17.1006,100.8374,303.19,68,90,2.99,TH,1723090707
177,svobodnyy,51.4,128.1333,298.93,50,26,1.02,RU,1723090708
178,nazarovo,56.0064,90.3914,294.19,73,40,2.99,RU,1723090709
179,vilyuchinsk,52.9306,158.4028,301.3,78,27,5.28,RU,1723090303
180,nova sintra,14.8667,-24.7167,298.14,84,46,8.5,CV,1723090711
181,santa cruz,-17.8,-63.1667,293.85,88,75,6.69,BO,1723090681
182,vadso,70.0744,29.7487,289.24,67,0,0.0,NO,1723090713
183,stillwater,36.1156,-97.0584,303.3,57,0,4.12,US,1723090714
184,mantua,45.1667,10.7833,293.73,96,2,2.24,IT,1723090715
185,keren,15.7778,38.4581,292.78,84,31,1.11,ER,1723090716
186,saipan,15.1355,145.701,305.54,70,40,3.09,MP,1723090717
187,narrabri,-30.3167,149.7833,294.55,54,22,0.45,AU,1723090718
188,putnok,48.3,20.4333,293.01,55,17,0.35,HU,1723090720
189,nikolayevsk-on-amure,53.1406,140.73,288.79,95,100,1.58,RU,1723090721
190,la'ie,21.6477,-157.9253,302.13,75,3,2.24,US,1723090054
191,preston,53.7667,-2.7167,288.25,92,100,4.91,GB,1723090723
192,bikenibeu village,1.3673,173.1241,304.13,66,75,1.03,KI,1723090724
193,catriel,-37.8791,-67.7956,276.94,62,85,2.36,AR,1723090725
194,taro,-8.3862,115.28,298.15,65,94,1.66,ID,1723090726
195,vikhorevka,56.1201,101.1636,292.92,71,100,4.42,RU,1723090727
196,beroroha,-21.6667,45.1667,290.44,79,0,1.27,MG,1723090728
197,colonia,50.9333,6.95,290.53,84,0,1.03,DE,1723090729
198,touros,-5.1989,-35.4608,295.94,87,9,4.74,BR,1723090730
199,margate,51.3813,1.3862,288.09,85,33,4.67,GB,1723090732
200,zaozersk,69.4005,32.4476,288.5,57,84,2.76,RU,1723090733
201,ponta delgada,37.7333,-25.6667,295.55,88,40,1.03,PT,1723090581
202,port alfred,-33.5906,26.891,287.82,75,0,4.16,ZA,1723089933
203,vila franca do campo,37.7167,-25.4333,295.38,88,39,2.79,PT,1723090738
204,barrouallie,13.2333,-61.2667,298.59,79,19,3.26,VC,1723090739
205,sur,22.5667,59.5289,303.48,66,40,1.41,OM,1723090740
206,mkokotoni,-5.8767,39.2547,296.01,85,51,3.57,TZ,1723090742
207,freetown,8.484,-13.2299,297.91,85,99,4.05,SL,1723090743
208,bel ombre,-4.6167,55.4167,299.06,89,40,4.63,SC,1723090744
209,san felipe jalapa de diaz,18.0667,-96.5333,298.57,93,73,1.18,MX,1723090745
210,gumdag,39.2061,54.5906,301.13,67,60,5.36,TM,1723090746
211,hasaki,35.7333,140.8333,305.53,73,28,4.47,JP,1723090052
212,estevan,49.1334,-102.9842,282.34,87,0,3.6,CA,1723090748
213,geraldton,-28.7667,114.6,293.38,68,100,3.09,AU,1723090699
214,fort bragg,35.139,-79.006,298.06,95,100,10.29,US,1723090742
215,beyneu,45.3167,55.2,303.7,32,82,7.34,KZ,1723090751
216,broken hill,-31.95,141.4333,289.28,42,100,8.34,AU,1723090382
217,pisco,-13.7,-76.2167,289.18,82,100,2.06,PE,1723090247
218,tamanrasset,22.785,5.5228,299.1,14,0,1.03,DZ,1723090245
219,jamestown,42.097,-79.2353,292.33,94,100,2.57,US,1723090756
220,kailua-kona,19.6406,-155.9956,301.13,86,75,3.6,US,1723090510
221,sofo-birnin-gwari,11.0154,6.7804,293.97,98,100,3.0,NG,1723090758
222,balcarce,-37.8462,-58.2552,280.04,99,100,2.24,AR,1723090759
223,dunedin,-45.8742,170.5036,281.93,82,100,2.68,NZ,1723090736
224,arteche,12.2645,125.4048,305.82,59,61,2.64,PH,1723090306
225,nar'yan-mar,67.6713,53.087,284.39,62,0,2.21,RU,1723090762
226,berdigestyakh,62.0989,126.6992,294.78,39,6,1.11,RU,1723090763
227,pagar alam,-4.0167,103.2667,301.06,54,83,2.24,ID,1723090764
228,fale old settlement,-9.3852,-171.2468,300.99,74,90,8.94,TK,1723090766
229,inhambane,-23.865,35.3833,293.31,85,33,1.59,MZ,1723090735
230,kenai,60.5544,-151.2583,287.2,96,100,3.6,US,1723090768
231,yaren,-0.5472,166.916,301.85,71,56,3.41,NR,1723090769
232,chaparral,3.7232,-75.4832,293.3,86,85,2.31,CO,1723090770
233,san antonio de pale,-1.4014,5.6325,295.79,82,100,5.21,GQ,1723090337
234,cockburn town,21.4612,-71.1419,300.97,87,100,8.18,TC,1723090772
235,bonanza,14.0289,-84.591,295.11,100,100,1.28,NI,1723090773
236,shingu,33.7333,135.9833,304.02,67,2,3.17,JP,1723090774
237,vicosa,-20.7539,-42.8819,289.44,75,0,4.02,BR,1723090775
238,hami,42.8,93.45,291.97,80,100,2.28,CN,1723090776
239,usogorsk,63.4106,48.6872,288.13,51,8,2.51,RU,1723090754
240,dubna,56.7333,37.1667,288.15,89,14,1.92,RU,1723090779
241,lamar,33.6668,-95.5836,303.14,66,0,1.54,US,1723090780
242,veraval,20.9,70.3667,301.35,79,91,7.41,IN,1723090781
243,glendive,47.1053,-104.7125,286.94,88,0,4.63,US,1723090584
244,kulachi,31.9286,70.4592,309.8,42,0,2.73,PK,1723090783
245,mount isa,-20.7333,139.5,300.02,22,0,3.09,AU,1723090784
246,ulladulla,-35.35,150.4667,293.02,49,5,6.63,AU,1723090785
247,wagar,16.1525,36.2032,299.55,72,34,3.21,SD,1723090191
248,makushino,55.2103,67.2442,289.07,68,66,5.09,RU,1723090788
249,vorgashor,67.5833,63.95,285.51,55,19,1.52,RU,1723090375
250,porsa,26.67,78.3747,298.68,98,100,3.57,IN,1723090791
251,taulaga,-11.0553,-171.0883,300.66,75,70,9.45,AS,1723090792
252,tumaco,1.7986,-78.8156,298.01,83,95,2.6,CO,1723090793
253,codrington,-38.2667,141.9667,286.11,70,100,8.55,AU,1723090711
254,binefar,41.8488,0.2968,297.58,54,33,1.26,ES,1723090795
255,torbat-e jam,35.244,60.6225,304.97,11,0,6.98,IR,1723090796
256,praia da vitoria,38.7333,-27.0667,295.29,83,40,2.34,PT,1723089982
257,sandnessjoen,66.0217,12.6316,291.44,79,96,9.3,NO,1723090798
258,puerto ayacucho,5.6639,-67.6236,297.12,93,98,1.68,VE,1723090799
259,lucapa,-8.4192,20.7447,290.73,24,99,2.15,AO,1723090338
260,road town,18.4167,-64.6167,300.2,75,11,6.89,VG,1723090801
261,isangel,-19.55,169.2667,299.21,53,75,3.09,VU,1723090803
262,newtown,-33.8984,151.1775,294.1,59,20,6.17,AU,1723090804
263,pearsall,28.8922,-99.095,305.58,49,21,7.8,US,1723090805
264,undurkhaan,47.3194,110.6556,296.42,62,100,3.37,MN,1723090806
265,kentville,45.0835,-64.4988,289.49,82,0,0.51,CA,1723090807
266,mount gambier,-37.8333,140.7667,286.02,66,100,5.31,AU,1723090808
267,vega de alatorre,20.0333,-96.6333,300.26,82,96,3.78,MX,1723090809
268,antofagasta,-23.65,-70.4,286.75,68,6,3.76,CL,1723090609
269,phu kradueng,16.8843,101.8847,303.54,74,73,1.04,TH,1723090811
270,invercargill,-46.4,168.35,283.72,72,67,2.68,NZ,1723090705
271,weno,7.4515,151.8468,305.12,66,75,2.06,FM,1723090813
272,zeya,53.75,127.2667,296.19,63,88,3.58,RU,1723090815
273,rampur,28.8167,79.0333,301.43,70,15,6.04,IN,1723090816
274,trujillo,-8.116,-79.03,289.13,94,100,4.12,PE,1723090817
275,xai-xai,-25.0519,33.6442,289.24,96,8,3.47,MZ,1723090818
276,port blair,11.6667,92.75,304.17,70,75,4.63,IN,1723090819
277,gadzhiyevo,69.2551,33.3362,287.63,61,72,3.51,RU,1723090820
278,evanston,42.0411,-87.6901,293.74,84,20,2.57,US,1723090821
279,huaraz,-9.5333,-77.5333,283.55,58,71,0.92,PE,1723090822
280,taltal,-25.4,-70.4833,287.38,61,0,1.97,CL,1723090373
281,kasaragod,12.5,75.0,297.78,90,100,1.27,IN,1723090824
282,ponorogo,-7.8685,111.462,303.43,56,35,5.03,ID,1723090826
283,correntina,-13.3433,-44.6367,291.9,62,6,1.58,BR,1723090827
284,manturovo,58.3353,44.7619,288.46,88,71,2.43,RU,1723090828
285,kursavka,44.4564,42.5093,293.01,64,0,2.8,RU,1723090829
286,salekhard,66.53,66.6019,286.13,59,12,1.77,RU,1723090830
287,coquimbo,-29.9533,-71.3436,285.0,73,100,0.51,CL,1723090831
288,brush,40.2589,-103.6238,294.53,88,0,7.2,US,1723090810
289,benemerito de las americas,16.5167,-90.6439,295.92,98,73,1.07,MX,1723090833
290,tralee,52.2704,-9.7026,287.87,96,97,1.8,IE,1723090756
291,languyan,5.2618,120.0807,303.35,62,100,2.64,PH,1723090835
292,ammi moussa,35.8678,1.1114,299.99,60,30,1.58,DZ,1723090836
293,severo-yeniseyskiy,60.3725,93.0408,289.96,76,99,1.71,RU,1723090838
294,verdal,63.7933,11.4817,292.17,90,79,3.3,NO,1723090839
295,lerwick,60.1545,-1.1494,285.15,89,95,12.71,GB,1723090840
296,constantia,44.1833,28.65,291.53,72,4,1.29,RO,1723090841
297,kashgar,39.4547,75.9797,299.71,47,1,4.0,CN,1723090842
298,adrar,20.5022,-10.0711,304.94,33,1,7.25,MR,1723090379
299,port lincoln,-34.7333,135.8667,289.35,69,85,5.94,AU,1723090844
300,mount pearl,47.5166,-52.7813,289.24,90,0,5.66,CA,1723090712
301,sisimiut,66.9395,-53.6735,278.42,90,27,5.72,GL,1723090846
302,callao,-12.0667,-77.15,289.66,77,100,3.09,PE,1723090386
303,zhezqazghan,47.7833,67.7667,305.47,27,0,2.0,KZ,1723090848
304,lepsy,46.235,78.9456,305.51,19,0,3.17,KZ,1723090850
305,kurashiki,34.5833,133.7667,308.73,54,0,2.75,JP,1723090851
306,balezino,57.9796,53.0106,287.46,88,100,3.95,RU,1723090852
307,kavieng,-2.5744,150.7967,302.17,72,14,4.89,PG,1723090853
308,saint-francois,46.4154,3.9054,287.97,99,98,1.51,FR,1723090369
309,karkira,36.9292,6.5856,299.42,38,0,2.11,DZ,1723090855
310,kiunga,-6.1219,141.2906,302.53,67,90,2.41,PG,1723090856
311,kolonia,50.9333,6.95,290.53,84,0,1.03,DE,1723090804
312,xinyuan,37.3,99.0,278.43,95,100,2.15,CN,1723090858
313,guerrero negro,27.9769,-114.0611,295.86,76,0,5.61,MX,1723090709
314,naze,28.3667,129.4833,304.66,67,64,1.15,JP,1723090860
315,sucua,-2.4667,-78.1667,294.01,94,95,1.05,EC,1723090658
316,altay,47.8667,88.1167,299.06,28,1,3.53,CN,1723090863
317,lospalos,-8.5186,127.0025,299.28,63,95,6.5,TL,1723090864
318,kenora,49.8167,-94.4337,287.69,72,40,3.6,CA,1723090865
319,katsuura,35.1333,140.3,300.8,83,25,3.99,JP,1723090866
320,pyu,18.4833,96.4333,301.34,82,89,3.35,MM,1723090867
321,castillos,-34.1667,-53.8333,279.87,87,27,3.05,UY,1723090868
322,muheza,-5.1667,38.7833,293.46,91,65,2.06,TZ,1723090869
323,whitehorse,60.7161,-135.0538,298.58,33,0,5.14,CA,1723090703
324,tual,-5.6667,132.75,298.39,84,63,8.29,ID,1723090871
325,vilyuysk,63.7553,121.6247,294.03,40,8,0.5,RU,1723090872
326,waingapu,-9.6567,120.2641,303.11,57,53,8.48,ID,1723090873
327,tvoroyri,61.5556,-6.8111,283.94,92,24,6.74,FO,1723090875
328,halwan,29.8414,31.3008,300.57,53,0,3.54,EG,1723090876
329,al fallujah,33.3538,43.7795,306.09,25,0,5.51,IQ,1723090877
330,heihe,50.2441,127.4902,295.47,49,85,2.42,CN,1723090878
331,zelenogorsk,56.1147,94.5861,294.88,70,95,1.92,RU,1723090879
332,sittwe,20.15,92.9,299.72,87,100,5.59,MM,1723090880
333,monte alegre,-2.0078,-54.0692,297.58,70,1,1.48,BR,1723090881
334,linxia chengguanzhen,35.6003,103.2064,291.68,83,100,1.75,CN,1723090882
335,reggane,26.7158,0.1714,307.71,12,2,7.36,DZ,1723090883
336,cabo san lucas,22.8909,-109.9124,302.76,72,13,5.81,MX,1723090703
337,rikaze,29.25,88.8833,290.02,45,100,1.1,CN,1723090885
338,birjand,32.8663,59.2211,303.41,8,0,0.0,IR,1723090887
339,fredericksburg,38.3032,-77.4605,298.77,91,40,3.6,US,1723090889
340,nikol'sk,53.7189,46.0712,294.1,56,55,0.93,RU,1723090890
